pos,neg,tweet_count
1,0,1
1,1,2
1,2,3
1,2,4
1,3,5
1,4,6
2,4,7
2,4,8
2,4,9
2,4,10
2,5,11
2,5,12
2,6,13
2,7,14
2,7,15
3,7,16
3,8,17
3,9,18
3,9,19
4,9,20
5,9,21
5,10,22
5,11,23
5,12,24
5,12,25
5,13,26
5,13,27
6,13,28
7,13,29
8,13,30
9,13,31
9,14,32
9,14,33
10,14,34
10,14,35
10,14,36
10,14,37
10,14,38
10,15,39
10,15,40
10,15,41
10,16,42
10,16,43
10,17,44
11,17,45
11,18,46
11,18,47
12,18,48
12,18,49
12,18,50
13,18,51
13,19,52
13,20,53
13,20,54
14,20,55
15,20,56
16,20,57
17,20,58
17,20,59
17,21,60
17,21,61
17,21,62
17,21,63
17,22,64
17,23,65
17,23,66
18,23,67
19,23,68
19,23,69
19,23,70
20,23,71
21,23,72
21,24,73
21,24,74
21,25,75
21,26,76
21,26,77
21,26,78
22,26,79
22,26,80
23,26,81
23,26,82
24,26,83
24,26,84
24,27,85
25,27,86
25,28,87
26,28,88
27,28,89
27,28,90
27,28,91
28,28,92
29,28,93
29,29,94
29,30,95
29,30,96
29,31,97
30,31,98
30,31,99
30,31,100
30,31,101
31,31,102
31,31,103
31,32,104
31,32,105
32,32,106
32,32,107
32,32,108
32,33,109
32,34,110
